ID,PERSONA,AGENCIA,FECHA CIERRE,TIPO PRESTAMO,GARANTÍA ADMISIBLE,PLAZO,DÍAS MORA,CALIFICACIÓN OBJETIVA,CALIFICACIÓN ARRASTRE,SALDO APORTES,SALDO CAPITAL,DESTINO,SEXO,EDAD,ESTRATO,ESTADO CIVIL,PERSONAS A CARGO,NIVEL DE ESTUDIOS,OCUPACION,ACTIVIDAD ECONOMICA,TIENE VEHICULO,TIENE VIVIENDA,DIFERENCIA INGRESOS EGRESOS,TIPO VIVIENDA,ANTIGUEDAD NEGOCIO,TOTAL ACTIVOS,CIUDAD_NAME,CAPITAL_INICIAL,CUOTA,TASA_NOMINAL,ENDEUDAMIENTO PARALELO,
1484966,59547,ARMENIA,6/30/2019,Consumo,389095.4974,11,0,A,A,77050.87,1116000,LIBRE INVERSIÓN,Femenino,54,3,Divorciado,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,Y,2167917, PROPIA ,6/22/2016,245000000,ARMENIA,1116000,114919.12,2.1367,30116000,
1484967,59547,ARMENIA,6/30/2019,Comercial,10110904.5,48,0,A,A,77050.87,29000000,LIBRE INVERSIÓN,Femenino,54,3,Divorciado,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,Y,2167917, PROPIA ,6/22/2016,245000000,ARMENIA,29000000,907352.67,1.7998,30116000,
1484968,42365,QUIMBAYA,6/30/2019,Consumo,0,18,0,A,A,51788,2000000,COMPRA DE MOTOCICLETAS,Masculino,37,1,Soltero,Cero,Bachillerato,EMPLEADO,Asalariados,N,N,530000, FAMILIAR ,2/1/2014,5000000,FILANDIA,2000000,135012.94,2.1367,2000000,
1484969,21798,ARMENIA,6/30/2019,Microcrédito,0,15,0,A,A,49687,1100000,CAPITAL DE TRABAJO,Masculino,49,1,Casado,Dos,Primaria,INDEPENDIENTE,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,N,N,107923, ARRENDADA ,3/3/2002,3231080,ARMENIA,1100000,82437.54,1.4998,1100000,
1484970,29128,QUIMBAYA,6/30/2019,Consumo,0,18,0,A,A,164261.79,2500000,COMPRA DE OTROS ACTIVOS PRODUCTIVOS ,Masculino,51,2,Union Libre,Cero,Bachillerato,EMPLEADO,Asalariados,N,N,420857, FAMILIAR ,8/20/2016,10000000,QUIMBAYA,2500000,168766.18,2.1367,2500000,
1484971,45265,ARMENIA,6/30/2019,Microcrédito,0,12,0,A,A,49687,1100000,CAPITAL DE TRABAJO,Femenino,27,3,Union Libre,Dos,Bachillerato,INDEPENDIENTE,"Comercio al por menor en locales no espec, con surtido principal de productos diferentes de alimentos, bebidas y tabaco.",Y,N,209799, ARRENDADA ,3/3/2017,19625000,CIRCASIA,1100000,100846.74,1.4998,1100000,
1484972,25103,TULUA,6/30/2019,Microcrédito,0,36,0,A,A,84788.94,6000000,COMPRA DE MERCANCIA ,Masculino,33,2,Union Libre,Dos,Bachillerato,INDEPENDIENTE,Cría de ganado porcino.,N,N,2134000, FAMILIAR ,3/15/2000,10879000,RIOFRIO,6000000,266683.31,2.8,6000000,
1484973,21394,ARMENIA,6/30/2019,Comercial,0,6,0,A,A,1868493.51,12000000,LIBRE INVERSIÓN,Masculino,47,2,Union Libre,Cero,Primaria,INDEPENDIENTE,Otros cultivos transitorios n.c.p.,N,Y,1633000, PROPIA ,1/1/1900,210000000,SEVILLA,12000000,2860821.64,11.2969,57431418.45,
1484974,27175,ARMENIA,6/30/2019,Microcrédito,0,18,0,A,A,53211.92,2800000,CAPITAL DE TRABAJO,Masculino,40,2,Casado,Tres,Universitario,INDEPENDIENTE,Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimiento especializado,N,N,1232564, FAMILIAR ,1/1/2013,2000000,ARMENIA,2800000,178652.99,1.4998,7970047.53,
1484975,42444,CHINCHINA,6/30/2019,Comercial,119200000,60,0,A,A,6674367.19,92000000,COMPRA DE VEHICULO PARA TRANSPORTE DE PASAJEROS,Masculino,47,3,Casado,Una,Primaria,INDEPENDIENTE,Transporte de pasajeros,N,N,113472373, PROPIA ,1/12/2013,363000000,SANTA ROSA DE CABAL,92000000,2396483.87,1.5997,92000000,
1484976,44113,ARMENIA,6/30/2019,Comercial,0,59,0,A,A,649788,60000000,COMPRA DE EDIFICACIONES ,Masculino,53,3,Casado,Una,Primaria,INDEPENDIENTE,Mantenimiento y reparación de vehículos automotores.,N,N,3150000, ARRENDADA ,5/15/2019,20000000,ARMENIA,60000000,1618745.7,1.7,60000000,
1484977,50569,TULUA,6/30/2019,Microcrédito,0,24,0,A,A,156718.28,3100000,REMODELACION DE INMUEBLE ,Femenino,59,3,Union Libre,Cero,Bachillerato,INDEPENDIENTE,Elaboración de productos de panadería,N,N,514192, FAMILIAR ,6/1/2013,5720000,TULUA,3100000,182847.89,2.9899,3100000,
1484978,23340,PEREIRA,6/30/2019,Consumo,0,6,0,A,A,51788,560000,COMPRA DE MERCANCIA ,Femenino,58,4,Casado,Cero,Bachillerato,Pensionado,"Sin Actividad Económica, solo para personas naturales",N,N,478116, FAMILIAR ,2/4/2019,10000000,PEREIRA,560000,100436.16,2.1367,560000,
1484979,12448,SANTA ROSA,6/30/2019,Microcrédito,0,24,0,A,A,759923.16,3450000,CULTIVO TRANSITORIO,Masculino,66,1,Casado,Una,Primaria,INDEPENDIENTE,Cultivo de café.,N,Y,2494750, PROPIA ,2/2/1988,194700000,SANTA ROSA DE CABAL,3450000,172234.15,1.4998,3450000,
48140,13581,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,905815.36,10026821.39,COMPRA DE CARTERA ,Femenino,32,1,Soltero,Cero,Bachillerato,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,980000,ACTUALIZAR MIGRACION,1/1/1900,0,ARMENIA,30000000,938652,1.7998,10026821.39,
40084,32379,ARMENIA,6/30/2019,Comercial,42400000,72,0,A,A,749351.91,14149247.02,,Masculino,68,1,Soltero,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,N,889716, FAMILIAR ,1/15/2015,140000000,ARMENIA,30000000,684208,1.4998,14149247.02,
40938,22588,ARMENIA,6/30/2019,Comercial,0,48,0,A,A,7455310.16,872747.76,,Masculino,70,4,Casado,Cero,Bachillerato,INDEPENDIENTE,Explotación mixta (agrícola y pecuaria).,N,Y,4733917, FAMILIAR ,1/1/1900,3392484000,ARMENIA,20000000,625768,1.7998,34064621.91,
40706,38789,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,295961.8,282391.42,,Masculino,61,2,Casado,Cero,Bachillerato,EMPLEADO,"Comercio al por menor en establecimiento no especializado con surtido comp principalmente por alimento, bebida o tabaco",N,Y,-94167, PROPIA ,1/1/2009,37227000,ARMENIA,4200000,125748.84,1.7998,282391.42,
42179,35517,ARMENIA,6/30/2019,Comercial,21100000,72,0,A,A,1200716.86,41551209.37,,Masculino,45,3,Casado,Cero,Primaria,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,24200000,ACTUALIZAR MIGRACION,1/1/1900,0,CIRCASIA,80000000,1824554,1.4998,41629510.36,
37204,24281,FUNDADORES,6/30/2019,Comercial,0,72,0,A,A,2596219.22,0,,Masculino,47,5,Casado,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,Y,3805000, FAMILIAR ,1/1/1900,400000000,,,,,58426226.25,
44224,35241,FUNDADORES,6/30/2019,Comercial,761204.5953,48,0,A,A,3000756.78,2935501.31,COMPRA DE MERCANCIA ,Masculino,47,3,Divorciado,Tres,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,Y,2209000, PROPIA ,1/1/1900,144297509,ARMENIA,15000000,440613,1.4998,21981419.41,
38359,38152,ARMENIA,6/30/2019,Comercial,0,72,21,A,A,3619893.67,27517960.59,CAPITAL DE TRABAJO,Masculino,54,5,Soltero,Cero,Otros,,Otras actividades de servicios personales n.c.p.,N,N,2400000, PROPIA ,1/1/1900,0,ARMENIA,60000000,1368415,1.4998,27517960.59,
47577,22617,ARMENIA,6/30/2019,Consumo,0,72,0,A,A,2324789.28,60333257.58,CAPITAL DE TRABAJO,Masculino,69,1,Casado,Cero,Universitario,INDEPENDIENTE,Fabricación de productos metálicos para uso estructural,Y,Y,8088465, PROPIA ,1/1/1900,430747552,ARMENIA,130000000,2210030.17,1.4998,134740974.1,
45144,15524,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,269408.55,1296114.9,CAPITAL DE TRABAJO,Masculino,62,2,Casado,Cero,Bachillerato,Pensionado,"Sin Actividad Económica, solo para personas naturales",N,N,246658, PROPIA ,1/1/2016,210000000,MONTENEGRO,5000000,155848.23,1.7998,4475087.65,
42909,63736,ARMENIA,6/30/2019,Comercial,0,72,0,A,A,5524435.35,80282151.79,,Femenino,72,5,Viudo,Cero,Primaria,INDEPENDIENTE,Transporte de pasajeros,Y,Y,2178000, PROPIA ,1/1/1990,1012000000,ARMENIA,150000000,3421038,1.4998,148685311,
43931,63736,ARMENIA,6/30/2019,Comercial,0,72,0,A,A,5524435.35,56403159.2,,Femenino,72,5,Viudo,Cero,Primaria,INDEPENDIENTE,Transporte de pasajeros,Y,Y,2178000, PROPIA ,1/1/1990,1012000000,ARMENIA,100000000,2280692,1.4998,148685311,
44832,49326,ARMENIA,6/30/2019,Comercial,0,48,15,A,A,3164532.66,3837974.74,COMPRA DE CARTERA ,Femenino,73,1,Soltero,Cero,Universitario,INDEPENDIENTE,"Sin Actividad Económica, solo para personas naturales",Y,Y,632410, PROPIA ,1/1/1900,175000000,ARMENIA,15000000,487066,1.9802,13592542.6,
40788,52978,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,6133107.92,274218.86,CAPITAL DE TRABAJO,Femenino,68,5,Union Libre,Cero,Universitario,INDEPENDIENTE,Otros cultivos transitorios n.c.p.,N,Y,1608167, ARRENDADA ,1/1/1900,1020000000,ARMENIA,6500000,203329.12,1.7998,42891513.17,
44687,52978,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,6133107.92,1005933.57,CAPITAL DE TRABAJO,Femenino,68,5,Union Libre,Cero,Universitario,INDEPENDIENTE,Otros cultivos transitorios n.c.p.,N,Y,1608167, ARRENDADA ,1/1/1900,1020000000,ARMENIA,5000000,156442,1.7998,42891513.17,
44564,50793,ARMENIA,6/30/2019,Consumo,0,47,0,A,A,492012.77,985813.91,CAPITAL DE TRABAJO,Femenino,68,1,Casado,Cero,Primaria,Auxiliar Caja,Actividades inmobiliarias realizadas con bienes propios o arrendados,N,N,1006000, PROPIA ,1/1/1900,0,ARMENIA,4300000,139625,1.9802,985813.91,
44997,50145,FUNDADORES,6/30/2019,Consumo,30800000,48,0,A,A,1376323.29,2642088.2,COMPRA DE CARTERA ,Femenino,63,4,Soltero,Cero,Universitario,INDEPENDIENTE,Pendiente por confirmar,Y,N,881500, PROPIA ,1/1/1900,0,ARMENIA,10000000,319419,1.8999,2642088.2,
41332,6309,FUNDADORES,6/30/2019,Comercial,0,59,0,A,A,871015.23,12911956.14,REMODELACION DE INMUEBLE ,Femenino,39,2,Casado,Cero,Bachillerato,INDEPENDIENTE,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",Y,Y,623780, PROPIA ,3/14/2016,165200000,ARMENIA,40000000,1026252.57,1.4998,29573219.1,
40291,4160,ARMENIA,6/30/2019,Comercial,0,59,0,A,A,684827.09,757708.88,,Femenino,60,3,Casado,Cero,Primaria,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,5502000,ACTUALIZAR MIGRACION,1/1/1900,0,ARMENIA,15000000,394185.76,1.5997,757708.88,
42489,6444,ARMENIA,6/30/2019,Consumo,0,48,14,A,A,825932.84,2122093.52,,Femenino,49,2,Soltero,Cero,Primaria,,Otras actividades de servicios personales n.c.p.,N,N,5530000,ACTUALIZAR MIGRACION,1/1/1900,0,ARMENIA,13000000,381865,1.4998,2122093.52,
41011,49759,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,1172410.13,712577.39,COMPRA DE CARTERA ,Femenino,57,3,Casado,Dos,Universitario,EMPLEADO,Asalariados,Y,Y,500998, PROPIA ,12/4/2008,189000000,ARMENIA,10100000,313295.68,1.7998,43163487.01,
48314,52592,ARMENIA,6/30/2019,Consumo,0,59,0,A,A,401604.28,3661112.6,,Femenino,49,3,Soltero,Cero,Bachillerato,INDEPENDIENTE,Asalariados,Y,Y,590000, PROPIA ,4/10/2015,165500000,ARMENIA,10000000,276507,1.7998,9980475.07,
44599,10882,ARMENIA,6/30/2019,Comercial,46500000,48,0,A,A,1353361.51,5869659.79,COMPRA DE VEHICULO PARA USO COMERCIAL ,Femenino,64,1,Separación Judicial,Cero,Bachillerato,,Comercio al por menor de artículos de segunda mano,N,N,2980000,ACTUALIZAR MIGRACION,1/1/1900,0,ARMENIA,30000000,881226,1.4998,5869659.79,
44184,11201,FUNDADORES,6/30/2019,Consumo,0,48,0,A,A,124289.99,1588606.64,COMPRA DE CARTERA ,Femenino,63,1,Casado,Cero,Otros,COMERCIANTE INDEPENDIENTE,Cría de ganado bovino y bufalino.,N,N,23398000, PROPIA ,1/1/2000,150000000,ARMENIA,8000000,234487.7404,1.4998,1588606.64,
40302,13386,TEBAIDA,6/30/2019,Comercial,0,59,0,A,A,497545.92,6885953.17,REMODELACION DE INMUEBLE ,Femenino,35,3,Soltero,Cero,Bachillerato,,"Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",N,N,1386000, PROPIA ,1/1/1900,0,LA TEBAIDA,24350000,672972.74,1.7998,6885953.17,
43177,54201,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,1839667.31,0,,Femenino,58,2,Casado,Cero,Primaria,INDEPENDIENTE,"Comercio al por menor en locales no espec, con surtido principal de productos diferentes de alimentos, bebidas y tabaco.",N,Y,1525000, PROPIA ,1/1/2000,185000000,,,,,942489.93,
39328,47659,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,710717.63,0,,Femenino,56,1,Soltero,Cero,Bachillerato,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,1900000,ACTUALIZAR MIGRACION,1/1/1900,0,,,,,0,
43651,49464,FUNDADORES,6/30/2019,Consumo,0,45,0,A,A,359044.85,0,,Femenino,52,1,Soltero,Cero,Otros,,Transporte de pasajeros,N,N,1207000, PROPIA ,1/1/1900,0,,,,,0,
39682,65349,ARMENIA,6/30/2019,Consumo,0,16,0,A,A,8995956.63,0,,Femenino,50,4,Casado,Una,Universitario,INDEPENDIENTE,Cría de ganado porcino.,N,N,500000, FAMILIAR ,2/1/2000,512400000,,,,,275000000,
48273,16401,ARMENIA,6/30/2019,Consumo,0,72,0,A,A,5258493.5,6358016.01,,Femenino,50,6,Casado,Dos,Maestría,EMPLEADO,Asalariados,Y,Y,2021000, PROPIA ,3/1/1993,415000000,ARMENIA,10000000,221366,1.4002,40938521.15,
40388,3055,ARMENIA,6/30/2019,Comercial,18470659.3,72,26,A,A,2571888.91,11809321.36,,Femenino,48,3,Soltero,Cero,Bachillerato,EMPLEADO,Asalariados,Y,N,9765000, FAMILIAR ,5/4/1992,240000000,ARMENIA,24000000,531279,1.4002,13298598.62,
40390,3055,ARMENIA,6/30/2019,Comercial,1494615.416,48,11,A,A,2571888.91,955590.89,PAGO DE SEGUROS ,Femenino,48,3,Soltero,Cero,Bachillerato,EMPLEADO,Asalariados,Y,N,9765000, FAMILIAR ,5/4/1992,240000000,ARMENIA,16000000,480071,1.5997,13298598.62,
42040,65697,CHINCHINA,6/30/2019,Consumo,48900000,48,26,A,A,743498.7,2125724.37,,Femenino,45,2,Casado,Cero,Tecnológico,EMPLEADO,Asalariados,Y,N,2069790, FAMILIAR ,4/20/1998,67500000,MANIZALES,16000000,469987,1.4998,2125724.37,
47977,18490,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,305367.7,1926270.56,COMPRA DE CARTERA ,Femenino,39,4,Soltero,Cero,Técnico,EMPLEADO,Asalariados,N,N,597339, FAMILIAR ,5/2/2013,5000000,ARMENIA,5000000,171755.91,2.1394,4691784.92,
48039,28003,ARMENIA,6/30/2019,Consumo,0,48,21,A,A,1934629.3,2816205.29,,Femenino,38,5,Casado,Cero,Técnico,INDEPENDIENTE,Transporte de pasajeros,Y,Y,9900000, PROPIA ,5/15/2003,478000000,ARMENIA,7500000,225033,1.5997,46334247.6,
42309,28003,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,1934629.3,0,,Femenino,38,5,Casado,Cero,Técnico,INDEPENDIENTE,Transporte de pasajeros,Y,Y,9900000, PROPIA ,5/15/2003,478000000,,,,,46334247.6,
45741,28003,ARMENIA,6/30/2019,Consumo,0,42,0,A,A,1934629.3,683333.15,,Femenino,38,5,Casado,Cero,Técnico,INDEPENDIENTE,Transporte de pasajeros,Y,Y,9900000, PROPIA ,5/15/2003,478000000,ARMENIA,5500000,177449,1.4998,46334247.6,
39251,28003,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,1934629.3,0,,Femenino,38,5,Casado,Cero,Técnico,INDEPENDIENTE,Transporte de pasajeros,Y,Y,9900000, PROPIA ,5/15/2003,478000000,,,,,46334247.6,
45754,32376,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,393107.2,1360957.49,REMODELACION DE INMUEBLE ,Masculino,37,2,Union Libre,Cero,Bachillerato,INDEPENDIENTE,Transporte de carga por carretera,Y,Y,336000, PROPIA ,6/1/2010,173400000,ARMENIA,5000000,168038.1,2.1394,20908409.8,
28117,246,ARMENIA,6/30/2019,Consumo,0,72,0,A,A,2073543.12,5694309.62,,Femenino,47,2,Casado,Tres,Universitario,INDEPENDIENTE,Otras actividades de servicios personales n.c.p.,N,N,6200000, PROPIA ,1/1/1900,0,SALENTO,51000000,1163153,1.4998,12196893.87,
28646,246,ARMENIA,6/30/2019,Consumo,0,72,0,A,A,2073543.12,6502584.25,,Femenino,47,2,Casado,Tres,Universitario,INDEPENDIENTE,Otras actividades de servicios personales n.c.p.,N,N,6200000, PROPIA ,1/1/1900,0,SALENTO,49000000,1117539,1.4998,12196893.87,
45383,33981,ARMENIA,6/30/2019,Comercial,0,72,0,A,A,4496200.13,8742216.96,,Masculino,53,3,Casado,Cero,Bachillerato,INDEPENDIENTE,Actividades inmobiliarias realizadas con bienes propios o arrendados,N,N,13239000, PROPIA ,1/1/2000,340000000,ARMENIA,25000000,372865.66,1.7998,38517447.75,
42712,33399,ARMENIA,6/30/2019,Comercial,0,48,136,C,C,2462026.67,6505857.98,,Masculino,75,3,Casado,Cero,Universitario,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,2550000, PROPIA ,1/1/1900,0,ARMENIA,25000000,688195,1.2,6505857.98,
41871,68549,ARMENIA,6/30/2019,Consumo,2735427.844,48,0,A,A,7474826.98,3258950.21,CAPITAL DE TRABAJO,Masculino,55,5,Union Libre,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,N,14800000, FAMILIAR ,1/1/1900,375000000,ARMENIA,30000000,824323.01,1.2,100483837.3,
45718,68549,ARMENIA,6/30/2019,Consumo,11564166.81,48,0,A,A,7474826.98,12268422.74,CAPITAL DE TRABAJO,Masculino,55,5,Union Libre,Cero,Bachillerato,INDEPENDIENTE,Transporte de pasajeros,Y,N,14800000, FAMILIAR ,1/1/1900,375000000,ARMENIA,50000000,1432625.6,1.4002,100483837.3,
43779,5734,ARMENIA,6/30/2019,Comercial,134900000,48,0,A,A,4736398.65,30026264.17,COMPRA DE VEHICULO PARA USO COMERCIAL ,Masculino,69,3,Casado,Cero,Primaria,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,12600000, PROPIA ,1/1/1900,0,ARMENIA,240000000,5469064.22,1.3003,30026264.17,
46877,60288,ARMENIA,6/30/2019,Consumo,0,59,0,A,A,3236309.01,885127.09,CAPITAL DE TRABAJO,Masculino,66,6,Casado,Cero,Universitario,COMERCIANTE INDEPENDIENTE,,N,N,10000001, PROPIA ,3/1/2010,0,BOGOTA,2000000,52427.43,1.5997,53529462.11,
40753,1075,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,502570.62,634947.24,,Masculino,66,5,Casado,Una,Tecnológico,INDEPENDIENTE,Otros cultivos permanentes n.c.p.,N,Y,321173, PROPIA ,1/29/1992,540550725,ARMENIA,10000000,312883614,1.7998,1946399.72,
31253,21187,ARMENIA,6/30/2019,Microcrédito,0,48,0,E,,0,0,,Masculino,63,5,Union Libre,Cero,Otros,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,464888, PROPIA ,1/1/1900,0,,,,,0,
44688,32745,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,8334458.26,1012201.43,CAPITAL DE TRABAJO,Masculino,62,5,Casado,Cero,Bachillerato,INDEPENDIENTE,Explotación mixta (agrícola y pecuaria).,Y,Y,33040474,ACTUALIZAR MIGRACION,1/1/1900,1380000000,ARMENIA,5000000,156369.32,1.7998,43027731.4,
40529,32745,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,8334458.26,63673.64,CAPITAL DE TRABAJO,Masculino,62,5,Casado,Cero,Bachillerato,INDEPENDIENTE,Explotación mixta (agrícola y pecuaria).,Y,Y,33040474,ACTUALIZAR MIGRACION,1/1/1900,1380000000,ARMENIA,4800000,143963.45,1.5997,43027731.4,
47176,24115,ARMENIA,6/30/2019,Comercial,11998078.65,48,0,A,A,7158708.76,13612408.3,,Masculino,65,3,Casado,Cero,Bachillerato,MIGRACION,Otras actividades de servicios personales n.c.p.,N,N,10800000,ACTUALIZAR MIGRACION,1/1/1900,0,ARMENIA,42500000,1248403,1.4998,71136223.16,
42885,35658,ARMENIA,6/30/2019,Consumo,0,60,0,A,A,9340041.66,12553188.61,,Masculino,59,4,Casado,Cero,Bachillerato,INDEPENDIENTE,Rentistas de Capital solo personas Naturales,N,N,4570036, FAMILIAR ,1/1/1900,171234000,ARMENIA,50800000,1192601,1.2,22041756.08,
42211,38790,ARMENIA,6/30/2019,Consumo,0,60,0,A,A,8799360.91,11227843.89,,Masculino,57,6,Casado,Tres,Maestría,EMPLEADO,Asalariados,N,N,8250000, PROPIA ,9/16/1992,300674000,LA TEBAIDA,60400000,775586.21,1.2,53208323.13,
39044,9370,ARMENIA,6/30/2019,Consumo,0,48,0,A,A,458832.66,0,,Masculino,55,4,Soltero,Cero,Bachillerato,,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",N,N,2256000, ARRENDADA ,1/1/1900,0,,,,,1457633.43,
48577,66561,FUNDADORES,6/30/2019,Comercial,27000000,48,0,A,A,1919907.02,9469441.76,COMPRA DE VEHICULO PARA USO COMERCIAL ,Masculino,50,4,Casado,Dos,Bachillerato,INDEPENDIENTE,Transporte de carga por carretera,Y,Y,2206548, PROPIA ,1/30/2010,160500000,ARMENIA,27000000,810119,1.5997,9469441.76,
46838,15587,ARMENIA,6/30/2019,Comercial,0,59,11,A,A,37594787.43,12619498.25,,Masculino,49,6,Casado,Cero,Universitario,EMPLEADO,Asalariados,N,Y,23238150, PROPIA ,1/1/1900,1220000000,BOGOTA,25000000,656782.1,1.5997,418431762.5,
47725,15587,ARMENIA,6/30/2019,Comercial,0,59,11,A,A,37594787.43,13022892.29,,Masculino,49,6,Casado,Cero,Universitario,EMPLEADO,Asalariados,N,Y,23238150, PROPIA ,1/1/1900,1220000000,BOGOTA,25000000,657845,1.5997,418431762.5,
